code,description_short,description_long,is_billable,status,valid_from
KW,Dmepos comp bid prgm no 4,Dmepos item subject to dmepos competitive bidding program number 4,,active,2008-01-01T00:00:00Z
KX,Documentation on file,Requirements specified in the medical policy have been met,,active,2002-07-01T00:00:00Z
KY,Dmepos comp bid prgm no 5,Dmepos item subject to dmepos competitive bidding program number 5,,active,2008-01-01T00:00:00Z
KZ,New cov not implement by m+c,New coverage not implemented by managed care,,active,2003-10-01T00:00:00Z
L1,Separately payable lab test,Provider attestation that the hospital laboratory test(s) is not packaged under,,deprecated,2014-07-01T00:00:00Z
LC,Lft circum coronary artery,Left circumflex coronary artery,,active,1997-01-01T00:00:00Z
LD,Left ant des coronary artery,Left anterior descending coronary artery,,active,1997-01-01T00:00:00Z
LL,Lease/rental (appld to pur),Lease/rental (use the 'll' modifier when dme equipment rental is to be applied,,active,1984-01-01T00:00:00Z
LM,Left main coronary artery,Left main coronary artery,,active,2013-01-01T00:00:00Z
LR,Laboratory round trip,Laboratory round trip,,active,1987-01-01T00:00:00Z
LS,Fda-monitored iol implant,Fda-monitored intraocular lens implant,,active,1991-01-01T00:00:00Z
LT,Left side,Left side (used to identify procedures performed on the left side of the body),,active,1984-01-01T00:00:00Z
LU,Fractionated payment,Fractionated payment,,active,2022-01-01T00:00:00Z
M2,Medicare secondary payer,Medicare secondary payer (msp),,active,2007-01-01T00:00:00Z
MA,Emer med cond susp/confirm,Ordering professional is not required to consult a clinical decision support,,deprecated,2020-01-01T00:00:00Z
MB,"Auc hardship, insuf internet",Ordering professional is not required to consult a clinical decision support,,deprecated,2020-01-01T00:00:00Z
MC,"Auc hardship, vendor issues",Ordering professional is not required to consult a clinical decision support,,deprecated,2020-01-01T00:00:00Z
MD,"Auc hardship, extreme circ",Ordering professional is not required to consult a clinical decision support,,deprecated,2020-01-01T00:00:00Z
ME,Order adheres to auc,The order for this service adheres to appropriate use criteria in the clinical,,deprecated,2020-01-01T00:00:00Z
MF,Order does not adhere to auc,The order for this service does not adhere to the appropriate use criteria in,,deprecated,2020-01-01T00:00:00Z
MG,Auc not applicable to order,The order for this service does not have applicable appropriate use criteria in,,deprecated,2020-01-01T00:00:00Z
MH,Auc consult not provided,Unknown if ordering professional consulted a clinical decision support,,deprecated,2020-01-01T00:00:00Z
MS,6-mo maint/svc fee parts/lbr,Six month maintenance and servicing fee for reasonable and necessary parts and,,active,1989-01-01T00:00:00Z
N1,Group 1 oxygen cov crit met,Group 1 oxygen coverage criteria met,,active,2023-01-01T00:00:00Z
N2,Group 2 oxygen cov crit met,Group 2 oxygen coverage criteria met,,active,2023-01-01T00:00:00Z
N3,Group 3 oxygen cov crit met,Group 3 oxygen coverage criteria met,,active,2023-01-01T00:00:00Z
NB,Drug specific nebulizer,"Nebulizer system, any type, fda-cleared for use with specific drug",,active,2011-01-01T00:00:00Z
NR,New when rented,New when rented (use the 'nr' modifier when dme which was new at the time of,,active,1984-01-01T00:00:00Z
NU,New equipment,New equipment,,active,1984-01-01T00:00:00Z
P1,Normal healthy patient,A normal healthy patient,,active,2006-01-01T00:00:00Z
P2,Patient w/mild syst disease,A patient with mild systemic disease,,active,2006-01-01T00:00:00Z
P3,Patient w/severe sys disease,A patient with severe systemic disease,,active,2006-01-01T00:00:00Z
P4,Pt w/sev sys dis threat life,A patient with severe systemic disease that is a constant threat to life,,active,2006-01-01T00:00:00Z
P5,Pt not expect surv w/o oper,A moribund patient who is not expected to survive without the operation,,active,2006-01-01T00:00:00Z
P6,Brain-dead pt organs removed,A declared brain-dead patient whose organs are being removed for donor purposes,,active,2006-01-01T00:00:00Z
PA,"Surgery, wrong body part",Surgical or other invasive procedure on wrong body part,,active,2009-07-01T00:00:00Z
PB,"Surgery, wrong patient",Surgical or other invasive procedure on wrong patient,,active,2009-07-01T00:00:00Z
PC,Wrong surgery on patient,Wrong surgery or other invasive procedure on patient,,active,2009-07-01T00:00:00Z
PD,Inp admit w/in 3 days,Diagnostic or related non diagnostic item or service provided in a wholly owned,,active,2012-01-01T00:00:00Z
PI,Pet tumor init tx strat,Positron emission tomography (pet) or pet/computed tomography (ct) to inform,,active,2009-07-01T00:00:00Z
PL,Progressive addition lenses,Progressive addition lenses,,active,1989-01-01T00:00:00Z
PM,Post mortem,Post mortem,,active,2014-01-01T00:00:00Z
PN,Non-excepted off-campus svc,"Non-excepted service provided at an off-campus, outpatient, provider-based",,active,2017-01-01T00:00:00Z
PO,Excepted off-campus service,"Excepted service provided at an off-campus, outpatient, provider-based",,active,2015-01-01T00:00:00Z
PS,Pet tumor subsq tx strategy,Positron emission tomography (pet) or pet/computed tomography (ct) to inform,,active,2009-07-01T00:00:00Z
PT,Clrctal screen to diagn,Colorectal cancer screening test; converted to diagnostic test or other,,active,2011-01-01T00:00:00Z
Q0,Invest clinical research,Investigational clinical service provided in a clinical research study that is,,active,2008-01-01T00:00:00Z
Q1,Routine clinical research,Routine clinical service provided in a clinical research study that is in an,,active,2008-01-01T00:00:00Z
Q2,"Demo procedure, service",Demonstration procedure/service,,active,1992-01-01T00:00:00Z
Q3,Live donor surgery/services,Live kidney donor surgery and related services,,active,1995-01-01T00:00:00Z
Q4,Svc exempt - ordrg/rfrng md,Service for ordering/referring physician qualifies as a service exemption,,active,1994-01-01T00:00:00Z
Q5,Recip bill arr subs md or pt,Service furnished under a reciprocal billing arrangement by a substitute,,active,1993-01-01T00:00:00Z
Q6,Fee/time comp subst md or pt,Service furnished under a fee-for-time compensation arrangement by a substitute,,active,1993-01-01T00:00:00Z
Q7,One class a finding,One class a finding,,active,1995-01-01T00:00:00Z
Q8,Two class b findings,Two class b findings,,active,1995-01-01T00:00:00Z
Q9,1 class b & 2 class c fndngs,One class b and two class c findings,,active,1995-01-01T00:00:00Z
QA,Avg sta day/night o2 < 1 lpm,Prescribed amounts of stationary oxygen for daytime use while at rest and,,active,2018-04-01T00:00:00Z
QB,Avg day/nite o2 > 4 lpm/port,Prescribed amounts of stationary oxygen for daytime use while at rest and,,active,2018-04-01T00:00:00Z
QC,Single channel monitoring,Single channel monitoring,,active,1989-01-01T00:00:00Z
QD,Rcrdg/strg in sld st memory,Recording and storage in solid state memory by a digital recorder,,active,1989-01-01T00:00:00Z
