code,description_short,description_long,is_billable,status,valid_from
J1566,"Immune globulin, powder","Injection, immune globulin, intravenous, lyophilized (e.g., powder), not",True,active,2006-01-01T00:00:00Z
J1568,Octagam injection,"Injection, immune globulin, (octagam), intravenous, non-lyophilized (e.g.,",True,active,2008-01-01T00:00:00Z
J1569,Gammagard liquid injection,"Injection, immune globulin, (gammagard liquid), non-lyophilized, (e.g.,",True,active,2008-01-01T00:00:00Z
J1570,Ganciclovir sodium injection,"Injection, ganciclovir sodium, 500 mg",True,active,1994-01-01T00:00:00Z
J1571,Hepagam b im injection,"Injection, hepatitis b immune globulin (hepagam b), intramuscular, 0.5 ml",True,active,2008-01-01T00:00:00Z
J1572,Flebogamma injection,"Injection, immune globulin, (flebogamma/flebogamma dif), intravenous,",True,active,2008-01-01T00:00:00Z
J1573,"Hepagam b intravenous, inj","Injection, hepatitis b immune globulin (hepagam b), intravenous, 0.5 ml",True,active,2008-01-01T00:00:00Z
J1574,"Inj, ganciclovir (exela)","Injection, ganciclovir sodium (exela), not therapeutically equivalent to j1570,",True,active,2023-01-01T00:00:00Z
J1575,Hyqvia 100mg immuneglobulin,"Injection, immune globulin/hyaluronidase, (hyqvia), 100 mg immuneglobulin",True,active,2016-01-01T00:00:00Z
J1576,"Inj, panzyga, 500 mg","Injection, immune globulin (panzyga), intravenous, non-lyophilized (e.g.,",True,active,2023-07-01T00:00:00Z
J1580,Garamycin gentamicin inj,"Injection, garamycin, gentamicin, up to 80 mg",True,active,1984-01-01T00:00:00Z
J1590,Gatifloxacin injection,"Injection, gatifloxacin, 10 mg",True,deprecated,2002-01-01T00:00:00Z
J1595,Injection glatiramer acetate,"Injection, glatiramer acetate, 20 mg",True,active,2004-01-01T00:00:00Z
J1596,"Inj, glycopyrrolate, 0.1 mg","Injection, glycopyrrolate, 0.1 mg",True,active,2024-01-01T00:00:00Z
J1597,"Inj glycopyrrolate, glyrx-pf","Injection, glycopyrrolate (glyrx-pf), 0.1 mg",True,active,2024-07-01T00:00:00Z
J1598,Inj glycopyrrolate fres kabi,"Injection, glycopyrrolate (fresenius kabi), not therapeutically equivalent to",True,active,2024-07-01T00:00:00Z
J1599,"Ivig non-lyophilized, nos","Injection, immune globulin, intravenous, non-lyophilized (e.g., liquid), not",True,active,2011-01-01T00:00:00Z
J1600,Gold sodium thiomaleate inj,"Injection, gold sodium thiomalate, up to 50 mg",True,active,1982-01-01T00:00:00Z
J1602,Golimumab for iv use 1mg,"Injection, golimumab, 1 mg, for intravenous use",True,active,2014-01-01T00:00:00Z
J1610,Glucagon hydrochloride/1 mg,"Injection, glucagon hydrochloride, per 1 mg",True,active,1986-01-01T00:00:00Z
J1611,"Inj glucagon hcl, fresenius","Injection, glucagon hydrochloride (fresenius kabi), not therapeutically",True,active,2023-01-01T00:00:00Z
J1612,Inj glucagon (gvoke) 0.01 mg,"Injection, glucagon (gvoke), 0.01 mg",True,active,2025-10-01T00:00:00Z
J1620,Gonadorelin hydroch/ 100 mcg,"Injection, gonadorelin hydrochloride, per 100 mcg",True,deprecated,1982-01-01T00:00:00Z
J1626,Granisetron hcl injection,"Injection, granisetron hydrochloride, 100 mcg",True,active,1998-01-01T00:00:00Z
J1627,"Inj, granisetron, xr, 0.1 mg","Injection, granisetron, extended-release, 0.1 mg",True,active,2018-01-01T00:00:00Z
J1628,"Inj., guselkumab, 1 mg","Injection, guselkumab, 1 mg",True,active,2019-01-01T00:00:00Z
J1630,Haloperidol injection,"Injection, haloperidol, up to 5 mg",True,active,1986-01-01T00:00:00Z
J1631,Haloperidol decanoate inj,"Injection, haloperidol decanoate, per 50 mg",True,active,1989-01-01T00:00:00Z
J1632,"Inj., brexanolone, 1 mg","Injection, brexanolone, 1 mg",True,active,2020-10-01T00:00:00Z
J1640,"Hemin, 1 mg","Injection, hemin, 1 mg",True,active,2006-01-01T00:00:00Z
J1642,Inj heparin sodium per 10 u,"Injection, heparin sodium, (heparin lock flush), per 10 units",True,active,1995-01-01T00:00:00Z
J1643,"Inj heparin, pfizer, 1000u","Injection, heparin sodium (pfizer), not therapeutically equivalent to j1644,",True,active,2023-01-01T00:00:00Z
J1644,Inj heparin sodium per 1000u,"Injection, heparin sodium, per 1000 units",True,active,1995-01-01T00:00:00Z
J1645,Dalteparin sodium,"Injection, dalteparin sodium, per 2500 iu",True,active,1997-01-01T00:00:00Z
J1650,Inj enoxaparin sodium,"Injection, enoxaparin sodium, 10 mg",True,active,1996-01-01T00:00:00Z
J1652,Fondaparinux sodium,"Injection, fondaparinux sodium, 0.5 mg",True,active,2003-01-01T00:00:00Z
J1655,Tinzaparin sodium injection,"Injection, tinzaparin sodium, 1000 iu",True,deprecated,2002-01-01T00:00:00Z
J1670,Tetanus immune globulin inj,"Injection, tetanus immune globulin, human, up to 250 units",True,active,1986-01-01T00:00:00Z
J1675,Histrelin acetate,"Injection, histrelin acetate, 10 micrograms",True,active,2006-01-01T00:00:00Z
J1700,Hydrocortisone acetate inj,"Injection, hydrocortisone acetate, up to 25 mg",True,active,1982-01-01T00:00:00Z
J1710,Hydrocortisone sodium ph inj,"Injection, hydrocortisone sodium phosphate, up to 50 mg",True,deprecated,1982-01-01T00:00:00Z
J1720,Hydrocortisone sodium succ i,"Injection, hydrocortisone sodium succinate, up to 100 mg",True,active,1982-01-01T00:00:00Z
J1725,Hydroxyprogesterone caproate,"Injection, hydroxyprogesterone caproate, 1 mg",True,deprecated,2012-01-01T00:00:00Z
J1726,"Makena, 10 mg","Injection, hydroxyprogesterone caproate, (makena), 10 mg",True,active,2018-01-01T00:00:00Z
J1729,Inj hydroxyprogst capoat nos,"Injection, hydroxyprogesterone caproate, not otherwise specified, 10 mg",True,active,2018-01-01T00:00:00Z
J1730,Diazoxide injection,"Injection, diazoxide, up to 300 mg",True,active,1982-01-01T00:00:00Z
J1736,Inj meloxicam (delova) 1mg,"Injection, meloxicam (delova), 1 mg",True,active,2026-01-01T00:00:00Z
J1737,Inj meloxicam (azurity) 1mg,"Injection, meloxicam (azurity), 1 mg",True,active,2026-01-01T00:00:00Z
J1738,Inj. meloxicam 1 mg,"Injection, meloxicam, 1 mg",True,active,2020-10-01T00:00:00Z
J1740,Ibandronate sodium injection,"Injection, ibandronate sodium, 1 mg",True,active,2007-01-01T00:00:00Z
J1741,Ibuprofen injection,"Injection, ibuprofen, 100 mg",True,active,2013-01-01T00:00:00Z
J1742,Ibutilide fumarate injection,"Injection, ibutilide fumarate, 1 mg",True,active,1998-01-01T00:00:00Z
J1743,Idursulfase injection,"Injection, idursulfase, 1 mg",True,active,2008-01-01T00:00:00Z
J1744,Icatibant injection,"Injection, icatibant, 1 mg",True,active,2013-01-01T00:00:00Z
J1745,Infliximab not biosimil 10mg,"Injection, infliximab, excludes biosimilar, 10 mg",True,active,2000-01-01T00:00:00Z
J1746,"Inj., ibalizumab-uiyk, 10 mg","Injection, ibalizumab-uiyk, 10 mg",True,active,2019-01-01T00:00:00Z
J1747,"Inj, spesolimab-sbzo, 1 mg","Injection, spesolimab-sbzo, 1 mg",True,active,2023-04-01T00:00:00Z
J1748,"Inj, zymfentra, 10 mg","Injection, infliximab-dyyb (zymfentra), 10 mg",True,active,2024-07-01T00:00:00Z
J1749,"Inj, iloprost, 0.1 mcg","Injection, iloprost, 0.1 mcg",True,active,2024-10-01T00:00:00Z
J1750,Inj iron dextran,"Injection, iron dextran, 50 mg",True,active,2005-12-31T00:00:00Z
J1756,Iron sucrose injection,"Injection, iron sucrose, 1 mg",True,active,2003-01-01T00:00:00Z
J1786,Imuglucerase injection,"Injection, imiglucerase, 10 units",True,active,2011-01-01T00:00:00Z
J1790,Droperidol injection,"Injection, droperidol, up to 5 mg",True,active,1982-01-01T00:00:00Z
J1800,Propranolol injection,"Injection, propranolol hcl, up to 1 mg",True,active,1982-01-01T00:00:00Z
J1805,"Inj, esmolol hcl, 10mg","Injection, esmolol hydrochloride, 10 mg",True,active,2023-07-01T00:00:00Z
J1806,Inj esmolol hcl wg crit care,"Injection, esmolol hydrochloride (wg critical care), not therapeutically",True,active,2023-07-01T00:00:00Z
