source_system,source_code,target_system,target_code,relationship,confidence,provenance
HCPCS,A9576,NDC,00270111170,bills-for,exact,https://www.cms.gov/files/zip/april-2026-ndc-hcpcs-crosswalk-03-30-2026-final-file.zip
HCPCS,A9577,NDC,00270516412,bills-for,exact,https://www.cms.gov/files/zip/april-2026-ndc-hcpcs-crosswalk-03-30-2026-final-file.zip
HCPCS,A9577,NDC,00270516413,bills-for,exact,https://www.cms.gov/files/zip/april-2026-ndc-hcpcs-crosswalk-03-30-2026-final-file.zip
HCPCS,A9577,NDC,00270516414,bills-for,exact,https://www.cms.gov/files/zip/april-2026-ndc-hcpcs-crosswalk-03-30-2026-final-file.zip
HCPCS,A9577,NDC,00270516415,bills-for,exact,https://www.cms.gov/files/zip/april-2026-ndc-hcpcs-crosswalk-03-30-2026-final-file.zip
HCPCS,A9578,NDC,00270526416,bills-for,exact,https://www.cms.gov/files/zip/april-2026-ndc-hcpcs-crosswalk-03-30-2026-final-file.zip
HCPCS,A9578,NDC,00270526417,bills-for,exact,https://www.cms.gov/files/zip/april-2026-ndc-hcpcs-crosswalk-03-30-2026-final-file.zip
HCPCS,A9579,NDC,00270111101,bills-for,exact,https://www.cms.gov/files/zip/april-2026-ndc-hcpcs-crosswalk-03-30-2026-final-file.zip
HCPCS,A9579,NDC,00270111102,bills-for,exact,https://www.cms.gov/files/zip/april-2026-ndc-hcpcs-crosswalk-03-30-2026-final-file.zip
HCPCS,A9579,NDC,00270111103,bills-for,exact,https://www.cms.gov/files/zip/april-2026-ndc-hcpcs-crosswalk-03-30-2026-final-file.zip
HCPCS,A9579,NDC,00270111104,bills-for,exact,https://www.cms.gov/files/zip/april-2026-ndc-hcpcs-crosswalk-03-30-2026-final-file.zip
HCPCS,A9579,NDC,00270111185,bills-for,exact,https://www.cms.gov/files/zip/april-2026-ndc-hcpcs-crosswalk-03-30-2026-final-file.zip
HCPCS,A9579,NDC,00407069005,bills-for,exact,https://www.cms.gov/files/zip/april-2026-ndc-hcpcs-crosswalk-03-30-2026-final-file.zip
HCPCS,A9579,NDC,00407069010,bills-for,exact,https://www.cms.gov/files/zip/april-2026-ndc-hcpcs-crosswalk-03-30-2026-final-file.zip
HCPCS,A9579,NDC,00407069012,bills-for,exact,https://www.cms.gov/files/zip/april-2026-ndc-hcpcs-crosswalk-03-30-2026-final-file.zip
HCPCS,A9579,NDC,00407069015,bills-for,exact,https://www.cms.gov/files/zip/april-2026-ndc-hcpcs-crosswalk-03-30-2026-final-file.zip
HCPCS,A9579,NDC,00407069017,bills-for,exact,https://www.cms.gov/files/zip/april-2026-ndc-hcpcs-crosswalk-03-30-2026-final-file.zip
HCPCS,A9579,NDC,00407069020,bills-for,exact,https://www.cms.gov/files/zip/april-2026-ndc-hcpcs-crosswalk-03-30-2026-final-file.zip
HCPCS,A9579,NDC,00407069022,bills-for,exact,https://www.cms.gov/files/zip/april-2026-ndc-hcpcs-crosswalk-03-30-2026-final-file.zip
HCPCS,A9579,NDC,00407069070,bills-for,exact,https://www.cms.gov/files/zip/april-2026-ndc-hcpcs-crosswalk-03-30-2026-final-file.zip
HCPCS,A9579,NDC,70436012131,bills-for,exact,https://www.cms.gov/files/zip/april-2026-ndc-hcpcs-crosswalk-03-30-2026-final-file.zip
HCPCS,A9579,NDC,70436012133,bills-for,exact,https://www.cms.gov/files/zip/april-2026-ndc-hcpcs-crosswalk-03-30-2026-final-file.zip
HCPCS,A9579,NDC,70436012134,bills-for,exact,https://www.cms.gov/files/zip/april-2026-ndc-hcpcs-crosswalk-03-30-2026-final-file.zip
HCPCS,A9579,NDC,70436012135,bills-for,exact,https://www.cms.gov/files/zip/april-2026-ndc-hcpcs-crosswalk-03-30-2026-final-file.zip
HCPCS,A9581,NDC,50419032005,bills-for,exact,https://www.cms.gov/files/zip/april-2026-ndc-hcpcs-crosswalk-03-30-2026-final-file.zip
HCPCS,A9581,NDC,50419032015,bills-for,exact,https://www.cms.gov/files/zip/april-2026-ndc-hcpcs-crosswalk-03-30-2026-final-file.zip
HCPCS,A9585,NDC,50419032511,bills-for,exact,https://www.cms.gov/files/zip/april-2026-ndc-hcpcs-crosswalk-03-30-2026-final-file.zip
HCPCS,A9585,NDC,50419032512,bills-for,exact,https://www.cms.gov/files/zip/april-2026-ndc-hcpcs-crosswalk-03-30-2026-final-file.zip
HCPCS,A9585,NDC,50419032513,bills-for,exact,https://www.cms.gov/files/zip/april-2026-ndc-hcpcs-crosswalk-03-30-2026-final-file.zip
HCPCS,A9585,NDC,50419032514,bills-for,exact,https://www.cms.gov/files/zip/april-2026-ndc-hcpcs-crosswalk-03-30-2026-final-file.zip
HCPCS,A9585,NDC,50419032515,bills-for,exact,https://www.cms.gov/files/zip/april-2026-ndc-hcpcs-crosswalk-03-30-2026-final-file.zip
HCPCS,A9585,NDC,50419032518,bills-for,exact,https://www.cms.gov/files/zip/april-2026-ndc-hcpcs-crosswalk-03-30-2026-final-file.zip
HCPCS,A9585,NDC,50419032519,bills-for,exact,https://www.cms.gov/files/zip/april-2026-ndc-hcpcs-crosswalk-03-30-2026-final-file.zip
HCPCS,A9585,NDC,50419032527,bills-for,exact,https://www.cms.gov/files/zip/april-2026-ndc-hcpcs-crosswalk-03-30-2026-final-file.zip
HCPCS,A9585,NDC,50419032528,bills-for,exact,https://www.cms.gov/files/zip/april-2026-ndc-hcpcs-crosswalk-03-30-2026-final-file.zip
HCPCS,A9585,NDC,50419032529,bills-for,exact,https://www.cms.gov/files/zip/april-2026-ndc-hcpcs-crosswalk-03-30-2026-final-file.zip
HCPCS,A9585,NDC,50419032537,bills-for,exact,https://www.cms.gov/files/zip/april-2026-ndc-hcpcs-crosswalk-03-30-2026-final-file.zip
HCPCS,A9585,NDC,65219028102,bills-for,exact,https://www.cms.gov/files/zip/april-2026-ndc-hcpcs-crosswalk-03-30-2026-final-file.zip
HCPCS,A9585,NDC,65219028107,bills-for,exact,https://www.cms.gov/files/zip/april-2026-ndc-hcpcs-crosswalk-03-30-2026-final-file.zip
HCPCS,A9585,NDC,65219028110,bills-for,exact,https://www.cms.gov/files/zip/april-2026-ndc-hcpcs-crosswalk-03-30-2026-final-file.zip
HCPCS,A9585,NDC,65219028115,bills-for,exact,https://www.cms.gov/files/zip/april-2026-ndc-hcpcs-crosswalk-03-30-2026-final-file.zip
