parent_code,child_code,relationship
J4A,J4A.0,is-a
J4A,J4A.8,is-a
J4A,J4A.9,is-a
J62,J62.0,is-a
J62,J62.8,is-a
J63,J63.0,is-a
J63,J63.1,is-a
J63,J63.2,is-a
J63,J63.3,is-a
J63,J63.4,is-a
J63,J63.5,is-a
J63,J63.6,is-a
J66,J66.0,is-a
J66,J66.1,is-a
J66,J66.2,is-a
J66,J66.8,is-a
J67,J67.0,is-a
J67,J67.1,is-a
J67,J67.2,is-a
J67,J67.3,is-a
J67,J67.4,is-a
J67,J67.5,is-a
J67,J67.6,is-a
J67,J67.7,is-a
J67,J67.8,is-a
J67,J67.9,is-a
J68,J68.0,is-a
J68,J68.1,is-a
J68,J68.2,is-a
J68,J68.3,is-a
J68,J68.4,is-a
J68,J68.8,is-a
J68,J68.9,is-a
J69,J69.0,is-a
J69,J69.1,is-a
J69,J69.8,is-a
J70,J70.0,is-a
J70,J70.1,is-a
J70,J70.2,is-a
J70,J70.3,is-a
J70,J70.4,is-a
J70,J70.5,is-a
J70,J70.8,is-a
J70,J70.9,is-a
J81,J81.0,is-a
J81,J81.1,is-a
J82,J82.8,is-a
J82.8,J82.81,is-a
J82.8,J82.82,is-a
J82.8,J82.83,is-a
J82.8,J82.89,is-a
J84,J84.0,is-a
J84,J84.1,is-a
J84,J84.2,is-a
J84,J84.8,is-a
J84,J84.9,is-a
J84.0,J84.01,is-a
J84.0,J84.02,is-a
J84.0,J84.03,is-a
J84.0,J84.09,is-a
J84.1,J84.10,is-a
J84.1,J84.11,is-a
J84.1,J84.17,is-a
J84.11,J84.111,is-a
J84.11,J84.112,is-a
J84.11,J84.113,is-a
J84.11,J84.114,is-a
J84.11,J84.115,is-a
J84.11,J84.116,is-a
J84.11,J84.117,is-a
J84.17,J84.170,is-a
J84.17,J84.178,is-a
J84.8,J84.81,is-a
J84.8,J84.82,is-a
J84.8,J84.83,is-a
J84.8,J84.84,is-a
J84.8,J84.89,is-a
J84.84,J84.841,is-a
J84.84,J84.842,is-a
J84.84,J84.843,is-a
J84.84,J84.848,is-a
J85,J85.0,is-a
J85,J85.1,is-a
J85,J85.2,is-a
J85,J85.3,is-a
J86,J86.0,is-a
J86,J86.9,is-a
J91,J91.0,is-a
J91,J91.8,is-a
J92,J92.0,is-a
J92,J92.9,is-a
J93,J93.0,is-a
J93,J93.1,is-a
J93,J93.8,is-a
J93,J93.9,is-a
J93.1,J93.11,is-a
J93.1,J93.12,is-a
J93.8,J93.81,is-a
J93.8,J93.82,is-a
J93.8,J93.83,is-a
J94,J94.0,is-a
J94,J94.1,is-a
J94,J94.2,is-a
J94,J94.8,is-a
J94,J94.9,is-a
J95,J95.0,is-a
J95,J95.1,is-a
J95,J95.2,is-a
J95,J95.3,is-a
J95,J95.4,is-a
J95,J95.5,is-a
J95,J95.6,is-a
J95,J95.7,is-a
J95,J95.8,is-a
J95.0,J95.00,is-a
J95.0,J95.01,is-a
J95.0,J95.02,is-a
J95.0,J95.03,is-a
J95.0,J95.04,is-a
J95.0,J95.09,is-a
J95.6,J95.61,is-a
J95.6,J95.62,is-a
J95.7,J95.71,is-a
J95.7,J95.72,is-a
J95.8,J95.81,is-a
J95.8,J95.82,is-a
J95.8,J95.83,is-a
J95.8,J95.84,is-a
J95.8,J95.85,is-a
J95.8,J95.86,is-a
J95.8,J95.87,is-a
J95.8,J95.88,is-a
J95.8,J95.89,is-a
J95.81,J95.811,is-a
J95.81,J95.812,is-a
J95.82,J95.821,is-a
J95.82,J95.822,is-a
J95.83,J95.830,is-a
J95.83,J95.831,is-a
J95.85,J95.850,is-a
J95.85,J95.851,is-a
J95.85,J95.859,is-a
J95.86,J95.860,is-a
J95.86,J95.861,is-a
J95.86,J95.862,is-a
J95.86,J95.863,is-a
J96,J96.0,is-a
J96,J96.1,is-a
J96,J96.2,is-a
J96,J96.9,is-a
J96.0,J96.00,is-a
J96.0,J96.01,is-a
J96.0,J96.02,is-a
J96.1,J96.10,is-a
J96.1,J96.11,is-a
J96.1,J96.12,is-a
J96.2,J96.20,is-a
J96.2,J96.21,is-a
J96.2,J96.22,is-a
J96.9,J96.90,is-a
J96.9,J96.91,is-a
J96.9,J96.92,is-a
J98,J98.0,is-a
J98,J98.1,is-a
J98,J98.2,is-a
J98,J98.3,is-a
J98,J98.4,is-a
J98,J98.5,is-a
J98,J98.6,is-a
J98,J98.8,is-a
J98,J98.9,is-a
J98.0,J98.01,is-a
J98.0,J98.09,is-a
J98.1,J98.11,is-a
J98.1,J98.19,is-a
J98.5,J98.51,is-a
J98.5,J98.59,is-a
K00,K00.0,is-a
K00,K00.1,is-a
K00,K00.2,is-a
K00,K00.3,is-a
K00,K00.4,is-a
K00,K00.5,is-a
K00,K00.6,is-a
K00,K00.7,is-a
K00,K00.8,is-a
K00,K00.9,is-a
K01,K01.0,is-a
K01,K01.1,is-a
K02,K02.3,is-a
K02,K02.5,is-a
K02,K02.6,is-a
K02,K02.7,is-a
K02,K02.9,is-a
K02.5,K02.51,is-a
K02.5,K02.52,is-a
K02.5,K02.53,is-a
K02.6,K02.61,is-a
K02.6,K02.62,is-a
K02.6,K02.63,is-a
K03,K03.0,is-a
K03,K03.1,is-a
K03,K03.2,is-a
K03,K03.3,is-a
K03,K03.4,is-a
K03,K03.5,is-a
K03,K03.6,is-a
K03,K03.7,is-a
K03,K03.8,is-a
K03,K03.9,is-a
K03.8,K03.81,is-a
K03.8,K03.89,is-a
K04,K04.0,is-a
K04,K04.1,is-a
K04,K04.2,is-a
K04,K04.3,is-a
K04,K04.4,is-a
K04,K04.5,is-a
K04,K04.6,is-a
K04,K04.7,is-a
K04,K04.8,is-a
K04,K04.9,is-a
K04.0,K04.01,is-a
K04.0,K04.02,is-a
K04.9,K04.90,is-a
K04.9,K04.99,is-a
K05,K05.0,is-a
K05,K05.1,is-a
K05,K05.2,is-a
K05,K05.3,is-a
K05,K05.4,is-a
K05,K05.5,is-a
K05,K05.6,is-a
K05.0,K05.00,is-a
K05.0,K05.01,is-a
K05.1,K05.10,is-a
K05.1,K05.11,is-a
K05.2,K05.20,is-a
K05.2,K05.21,is-a
K05.2,K05.22,is-a
K05.21,K05.211,is-a
K05.21,K05.212,is-a
K05.21,K05.213,is-a
K05.21,K05.219,is-a
K05.22,K05.221,is-a
K05.22,K05.222,is-a
K05.22,K05.223,is-a
K05.22,K05.229,is-a
K05.3,K05.30,is-a
K05.3,K05.31,is-a
K05.3,K05.32,is-a
K05.31,K05.311,is-a
K05.31,K05.312,is-a
K05.31,K05.313,is-a
K05.31,K05.319,is-a
K05.32,K05.321,is-a
K05.32,K05.322,is-a
K05.32,K05.323,is-a
K05.32,K05.329,is-a
K06,K06.0,is-a
K06,K06.1,is-a
K06,K06.2,is-a
K06,K06.3,is-a
K06,K06.8,is-a
K06,K06.9,is-a
K06.0,K06.01,is-a
K06.0,K06.02,is-a
K06.01,K06.010,is-a
K06.01,K06.011,is-a
K06.01,K06.012,is-a
K06.01,K06.013,is-a
K06.02,K06.020,is-a
K06.02,K06.021,is-a
K06.02,K06.022,is-a
K06.02,K06.023,is-a
K08,K08.0,is-a
K08,K08.1,is-a
K08,K08.2,is-a
K08,K08.3,is-a
K08,K08.4,is-a
K08,K08.5,is-a
K08,K08.8,is-a
K08,K08.9,is-a
K08.1,K08.10,is-a
K08.1,K08.11,is-a
K08.1,K08.12,is-a
K08.1,K08.13,is-a
K08.1,K08.19,is-a
K08.10,K08.101,is-a
K08.10,K08.102,is-a
K08.10,K08.103,is-a
K08.10,K08.104,is-a
K08.10,K08.109,is-a
K08.11,K08.111,is-a
K08.11,K08.112,is-a
K08.11,K08.113,is-a
K08.11,K08.114,is-a
K08.11,K08.119,is-a
K08.12,K08.121,is-a
K08.12,K08.122,is-a
K08.12,K08.123,is-a
K08.12,K08.124,is-a
K08.12,K08.129,is-a
K08.13,K08.131,is-a
K08.13,K08.132,is-a
K08.13,K08.133,is-a
K08.13,K08.134,is-a
K08.13,K08.139,is-a
K08.19,K08.191,is-a
K08.19,K08.192,is-a
K08.19,K08.193,is-a
K08.19,K08.194,is-a
K08.19,K08.199,is-a
K08.2,K08.20,is-a
K08.2,K08.21,is-a
K08.2,K08.22,is-a
K08.2,K08.23,is-a
K08.2,K08.24,is-a
K08.2,K08.25,is-a
K08.2,K08.26,is-a
K08.4,K08.40,is-a
K08.4,K08.41,is-a
K08.4,K08.42,is-a
K08.4,K08.43,is-a
K08.4,K08.49,is-a
K08.40,K08.401,is-a
K08.40,K08.402,is-a
K08.40,K08.403,is-a
K08.40,K08.404,is-a
K08.40,K08.409,is-a
K08.41,K08.411,is-a
K08.41,K08.412,is-a
K08.41,K08.413,is-a
K08.41,K08.414,is-a
K08.41,K08.419,is-a
K08.42,K08.421,is-a
K08.42,K08.422,is-a
K08.42,K08.423,is-a
K08.42,K08.424,is-a
K08.42,K08.429,is-a
K08.43,K08.431,is-a
K08.43,K08.432,is-a
K08.43,K08.433,is-a
K08.43,K08.434,is-a
K08.43,K08.439,is-a
K08.49,K08.491,is-a
K08.49,K08.492,is-a
K08.49,K08.493,is-a
K08.49,K08.494,is-a
K08.49,K08.499,is-a
K08.5,K08.50,is-a
K08.5,K08.51,is-a
K08.5,K08.52,is-a
K08.5,K08.53,is-a
K08.5,K08.54,is-a
K08.5,K08.55,is-a
K08.5,K08.56,is-a
K08.5,K08.59,is-a
K08.53,K08.530,is-a
K08.53,K08.531,is-a
K08.53,K08.539,is-a
K08.8,K08.81,is-a
K08.8,K08.82,is-a
K08.8,K08.89,is-a
K09,K09.0,is-a
K09,K09.1,is-a
K09,K09.8,is-a
K09,K09.9,is-a
K11,K11.0,is-a
K11,K11.1,is-a
K11,K11.2,is-a
K11,K11.3,is-a
K11,K11.4,is-a
K11,K11.5,is-a
K11,K11.6,is-a
K11,K11.7,is-a
K11,K11.8,is-a
K11,K11.9,is-a
K11.2,K11.20,is-a
K11.2,K11.21,is-a
K11.2,K11.22,is-a
K11.2,K11.23,is-a
K12,K12.0,is-a
K12,K12.1,is-a
K12,K12.2,is-a
K12,K12.3,is-a
K12.3,K12.30,is-a
K12.3,K12.31,is-a
K12.3,K12.32,is-a
K12.3,K12.33,is-a
K12.3,K12.39,is-a
K13,K13.0,is-a
K13,K13.1,is-a
K13,K13.2,is-a
K13,K13.3,is-a
K13,K13.4,is-a
K13,K13.5,is-a
K13,K13.6,is-a
K13,K13.7,is-a
K13.2,K13.21,is-a
K13.2,K13.22,is-a
K13.2,K13.23,is-a
K13.2,K13.24,is-a
K13.2,K13.29,is-a
K13.7,K13.70,is-a
K13.7,K13.79,is-a
K14,K14.0,is-a
K14,K14.1,is-a
K14,K14.2,is-a
K14,K14.3,is-a
K14,K14.4,is-a
K14,K14.5,is-a
K14,K14.6,is-a
K14,K14.8,is-a
K14,K14.9,is-a
K20,K20.0,is-a
K20,K20.8,is-a
K20,K20.9,is-a
K20.8,K20.80,is-a
K20.8,K20.81,is-a
K20.9,K20.90,is-a
K20.9,K20.91,is-a
K21,K21.0,is-a
K21,K21.9,is-a
K21.0,K21.00,is-a
K21.0,K21.01,is-a
K22,K22.0,is-a
K22,K22.1,is-a
K22,K22.2,is-a
K22,K22.3,is-a
K22,K22.4,is-a
K22,K22.5,is-a
K22,K22.6,is-a
K22,K22.7,is-a
K22,K22.8,is-a
K22,K22.9,is-a
K22.1,K22.10,is-a
K22.1,K22.11,is-a
K22.7,K22.70,is-a
K22.7,K22.71,is-a
K22.71,K22.710,is-a
K22.71,K22.711,is-a
K22.71,K22.719,is-a
K22.8,K22.81,is-a
K22.8,K22.82,is-a
K22.8,K22.89,is-a
K25,K25.0,is-a
K25,K25.1,is-a
K25,K25.2,is-a
K25,K25.3,is-a
K25,K25.4,is-a
K25,K25.5,is-a
K25,K25.6,is-a
K25,K25.7,is-a
K25,K25.9,is-a
K26,K26.0,is-a
K26,K26.1,is-a
K26,K26.2,is-a
K26,K26.3,is-a
K26,K26.4,is-a
K26,K26.5,is-a
K26,K26.6,is-a
K26,K26.7,is-a
K26,K26.9,is-a
K27,K27.0,is-a
K27,K27.1,is-a
K27,K27.2,is-a
K27,K27.3,is-a
K27,K27.4,is-a
K27,K27.5,is-a
K27,K27.6,is-a
K27,K27.7,is-a
K27,K27.9,is-a
K28,K28.0,is-a
K28,K28.1,is-a
K28,K28.2,is-a
K28,K28.3,is-a
K28,K28.4,is-a
K28,K28.5,is-a
K28,K28.6,is-a
K28,K28.7,is-a
K28,K28.9,is-a
K29,K29.0,is-a
K29,K29.2,is-a
K29,K29.3,is-a
K29,K29.4,is-a
K29,K29.5,is-a
K29,K29.6,is-a
K29,K29.7,is-a
K29,K29.8,is-a
K29,K29.9,is-a
K29.0,K29.00,is-a
K29.0,K29.01,is-a
K29.2,K29.20,is-a
K29.2,K29.21,is-a
K29.3,K29.30,is-a
K29.3,K29.31,is-a
K29.4,K29.40,is-a
K29.4,K29.41,is-a
K29.5,K29.50,is-a
K29.5,K29.51,is-a
K29.6,K29.60,is-a
K29.6,K29.61,is-a
K29.7,K29.70,is-a
K29.7,K29.71,is-a
K29.8,K29.80,is-a
K29.8,K29.81,is-a
K29.9,K29.90,is-a
K29.9,K29.91,is-a
K31,K31.0,is-a
K31,K31.1,is-a
K31,K31.2,is-a
K31,K31.3,is-a
K31,K31.4,is-a
K31,K31.5,is-a
K31,K31.6,is-a
K31,K31.7,is-a
K31,K31.8,is-a
K31,K31.9,is-a
K31,K31.A,is-a
K31.8,K31.81,is-a
K31.8,K31.82,is-a
K31.8,K31.83,is-a
K31.8,K31.84,is-a
K31.8,K31.89,is-a
K31.81,K31.811,is-a
K31.81,K31.819,is-a
K31.A,K31.A0,is-a
K31.A,K31.A1,is-a
K31.A,K31.A2,is-a
K31.A1,K31.A11,is-a
K31.A1,K31.A12,is-a
K31.A1,K31.A13,is-a
K31.A1,K31.A14,is-a
K31.A1,K31.A15,is-a
K31.A1,K31.A19,is-a
K31.A2,K31.A21,is-a
K31.A2,K31.A22,is-a
K31.A2,K31.A29,is-a
K35,K35.2,is-a
K35,K35.3,is-a
K35,K35.8,is-a
K35.2,K35.20,is-a
K35.2,K35.21,is-a
K35.20,K35.200,is-a
K35.20,K35.201,is-a
K35.20,K35.209,is-a
K35.21,K35.210,is-a
K35.21,K35.211,is-a
K35.21,K35.219,is-a
K35.3,K35.30,is-a
K35.3,K35.31,is-a
K35.3,K35.32,is-a
K35.3,K35.33,is-a
K35.8,K35.80,is-a
K35.8,K35.89,is-a
K35.89,K35.890,is-a
K35.89,K35.891,is-a
K38,K38.0,is-a
K38,K38.1,is-a
K38,K38.2,is-a
K38,K38.3,is-a
K38,K38.8,is-a
K38,K38.9,is-a
K40,K40.0,is-a
K40,K40.1,is-a
K40,K40.2,is-a
K40,K40.3,is-a
K40,K40.4,is-a
K40,K40.9,is-a
K40.0,K40.00,is-a
K40.0,K40.01,is-a
K40.1,K40.10,is-a
K40.1,K40.11,is-a
K40.2,K40.20,is-a
K40.2,K40.21,is-a
K40.3,K40.30,is-a
K40.3,K40.31,is-a
K40.4,K40.40,is-a
K40.4,K40.41,is-a
K40.9,K40.90,is-a
K40.9,K40.91,is-a
K41,K41.0,is-a
K41,K41.1,is-a
K41,K41.2,is-a
K41,K41.3,is-a
K41,K41.4,is-a
K41,K41.9,is-a
K41.0,K41.00,is-a
K41.0,K41.01,is-a
K41.1,K41.10,is-a
K41.1,K41.11,is-a
K41.2,K41.20,is-a
K41.2,K41.21,is-a
K41.3,K41.30,is-a
K41.3,K41.31,is-a
K41.4,K41.40,is-a
K41.4,K41.41,is-a
K41.9,K41.90,is-a
K41.9,K41.91,is-a
K42,K42.0,is-a
K42,K42.1,is-a
K42,K42.9,is-a
K43,K43.0,is-a
K43,K43.1,is-a
K43,K43.2,is-a
K43,K43.3,is-a
K43,K43.4,is-a
K43,K43.5,is-a
K43,K43.6,is-a
K43,K43.7,is-a
K43,K43.9,is-a
K44,K44.0,is-a
K44,K44.1,is-a
K44,K44.9,is-a
K45,K45.0,is-a
K45,K45.1,is-a
K45,K45.8,is-a
K46,K46.0,is-a
K46,K46.1,is-a
K46,K46.9,is-a
K50,K50.0,is-a
K50,K50.1,is-a
K50,K50.8,is-a
K50,K50.9,is-a
K50.0,K50.00,is-a
K50.0,K50.01,is-a
K50.01,K50.011,is-a
K50.01,K50.012,is-a
K50.01,K50.013,is-a
K50.01,K50.014,is-a
K50.01,K50.018,is-a
K50.01,K50.019,is-a
K50.1,K50.10,is-a
K50.1,K50.11,is-a
K50.11,K50.111,is-a
K50.11,K50.112,is-a
K50.11,K50.113,is-a
K50.11,K50.114,is-a
K50.11,K50.118,is-a
K50.11,K50.119,is-a
K50.8,K50.80,is-a
K50.8,K50.81,is-a
K50.81,K50.811,is-a
K50.81,K50.812,is-a
K50.81,K50.813,is-a
K50.81,K50.814,is-a
K50.81,K50.818,is-a
K50.81,K50.819,is-a
K50.9,K50.90,is-a
K50.9,K50.91,is-a
K50.91,K50.911,is-a
K50.91,K50.912,is-a
K50.91,K50.913,is-a
K50.91,K50.914,is-a
K50.91,K50.918,is-a
K50.91,K50.919,is-a
K51,K51.0,is-a
K51,K51.2,is-a
K51,K51.3,is-a
K51,K51.4,is-a
K51,K51.5,is-a
K51,K51.8,is-a
K51,K51.9,is-a
K51.0,K51.00,is-a
K51.0,K51.01,is-a
K51.01,K51.011,is-a
K51.01,K51.012,is-a
K51.01,K51.013,is-a
K51.01,K51.014,is-a
K51.01,K51.018,is-a
K51.01,K51.019,is-a
K51.2,K51.20,is-a
K51.2,K51.21,is-a
K51.21,K51.211,is-a
K51.21,K51.212,is-a
K51.21,K51.213,is-a
K51.21,K51.214,is-a
K51.21,K51.218,is-a
K51.21,K51.219,is-a
K51.3,K51.30,is-a
K51.3,K51.31,is-a
K51.31,K51.311,is-a
K51.31,K51.312,is-a
K51.31,K51.313,is-a
K51.31,K51.314,is-a
K51.31,K51.318,is-a
K51.31,K51.319,is-a
K51.4,K51.40,is-a
K51.4,K51.41,is-a
K51.41,K51.411,is-a
K51.41,K51.412,is-a
K51.41,K51.413,is-a
K51.41,K51.414,is-a
K51.41,K51.418,is-a
K51.41,K51.419,is-a
K51.5,K51.50,is-a
K51.5,K51.51,is-a
K51.51,K51.511,is-a
K51.51,K51.512,is-a
K51.51,K51.513,is-a
K51.51,K51.514,is-a
K51.51,K51.518,is-a
K51.51,K51.519,is-a
K51.8,K51.80,is-a
K51.8,K51.81,is-a
K51.81,K51.811,is-a
K51.81,K51.812,is-a
K51.81,K51.813,is-a
K51.81,K51.814,is-a
K51.81,K51.818,is-a
K51.81,K51.819,is-a
K51.9,K51.90,is-a
K51.9,K51.91,is-a
K51.91,K51.911,is-a
K51.91,K51.912,is-a
K51.91,K51.913,is-a
K51.91,K51.914,is-a
K51.91,K51.918,is-a
K51.91,K51.919,is-a
K52,K52.0,is-a
K52,K52.1,is-a
K52,K52.2,is-a
K52,K52.3,is-a
K52,K52.8,is-a
K52,K52.9,is-a
K52.2,K52.21,is-a
K52.2,K52.22,is-a
K52.2,K52.29,is-a
K52.8,K52.81,is-a
K52.8,K52.82,is-a
K52.8,K52.83,is-a
K52.8,K52.89,is-a
K52.83,K52.831,is-a
K52.83,K52.832,is-a
K52.83,K52.838,is-a
K52.83,K52.839,is-a
K55,K55.0,is-a
K55,K55.1,is-a
K55,K55.2,is-a
K55,K55.3,is-a
K55,K55.8,is-a
K55,K55.9,is-a
K55.0,K55.01,is-a
K55.0,K55.02,is-a
K55.0,K55.03,is-a
K55.0,K55.04,is-a
K55.0,K55.05,is-a
K55.0,K55.06,is-a
K55.01,K55.011,is-a
K55.01,K55.012,is-a
K55.01,K55.019,is-a
K55.02,K55.021,is-a
K55.02,K55.022,is-a
K55.02,K55.029,is-a
K55.03,K55.031,is-a
K55.03,K55.032,is-a
K55.03,K55.039,is-a
K55.04,K55.041,is-a
K55.04,K55.042,is-a
K55.04,K55.049,is-a
K55.05,K55.051,is-a
K55.05,K55.052,is-a
K55.05,K55.059,is-a
K55.06,K55.061,is-a
K55.06,K55.062,is-a
K55.06,K55.069,is-a
K55.2,K55.20,is-a
K55.2,K55.21,is-a
K55.3,K55.30,is-a
K55.3,K55.31,is-a
K55.3,K55.32,is-a
K55.3,K55.33,is-a
K56,K56.0,is-a
K56,K56.1,is-a
K56,K56.2,is-a
K56,K56.3,is-a
K56,K56.4,is-a
K56,K56.5,is-a
K56,K56.6,is-a
K56,K56.7,is-a
K56.4,K56.41,is-a
K56.4,K56.49,is-a
K56.5,K56.50,is-a
K56.5,K56.51,is-a
K56.5,K56.52,is-a
K56.6,K56.60,is-a
K56.6,K56.69,is-a
K56.60,K56.600,is-a
K56.60,K56.601,is-a
K56.60,K56.609,is-a
K56.69,K56.690,is-a
K56.69,K56.691,is-a
K56.69,K56.699,is-a
K57,K57.0,is-a
K57,K57.1,is-a
K57,K57.2,is-a
K57,K57.3,is-a
K57,K57.4,is-a
K57,K57.5,is-a
K57,K57.8,is-a
K57,K57.9,is-a
K57.0,K57.00,is-a
K57.0,K57.01,is-a
K57.1,K57.10,is-a
K57.1,K57.11,is-a
K57.1,K57.12,is-a
K57.1,K57.13,is-a
K57.2,K57.20,is-a
K57.2,K57.21,is-a
K57.3,K57.30,is-a
K57.3,K57.31,is-a
K57.3,K57.32,is-a
K57.3,K57.33,is-a
K57.4,K57.40,is-a
K57.4,K57.41,is-a
K57.5,K57.50,is-a
K57.5,K57.51,is-a
K57.5,K57.52,is-a
K57.5,K57.53,is-a
K57.8,K57.80,is-a
K57.8,K57.81,is-a
K57.9,K57.90,is-a
K57.9,K57.91,is-a
K57.9,K57.92,is-a
K57.9,K57.93,is-a
K58,K58.0,is-a
K58,K58.1,is-a
K58,K58.2,is-a
K58,K58.8,is-a
K58,K58.9,is-a
K59,K59.0,is-a
K59,K59.1,is-a
K59,K59.2,is-a
K59,K59.3,is-a
K59,K59.4,is-a
K59,K59.8,is-a
K59,K59.9,is-a
K59.0,K59.00,is-a
K59.0,K59.01,is-a
K59.0,K59.02,is-a
K59.0,K59.03,is-a
K59.0,K59.04,is-a
K59.0,K59.09,is-a
K59.3,K59.31,is-a
K59.3,K59.39,is-a
K59.8,K59.81,is-a
K59.8,K59.89,is-a
K60,K60.0,is-a
K60,K60.1,is-a
K60,K60.2,is-a
K60,K60.3,is-a
K60,K60.4,is-a
K60,K60.5,is-a
K60.3,K60.30,is-a
K60.3,K60.31,is-a
K60.3,K60.32,is-a
K60.31,K60.311,is-a
K60.31,K60.312,is-a
K60.31,K60.313,is-a
K60.31,K60.319,is-a
K60.32,K60.321,is-a
K60.32,K60.322,is-a
K60.32,K60.323,is-a
K60.32,K60.329,is-a
K60.4,K60.40,is-a
K60.4,K60.41,is-a
K60.4,K60.42,is-a
K60.41,K60.411,is-a
K60.41,K60.412,is-a
K60.41,K60.413,is-a
K60.41,K60.419,is-a
K60.42,K60.421,is-a
K60.42,K60.422,is-a
K60.42,K60.423,is-a
K60.42,K60.429,is-a
K60.5,K60.50,is-a
K60.5,K60.51,is-a
K60.5,K60.52,is-a
K60.51,K60.511,is-a
K60.51,K60.512,is-a
K60.51,K60.513,is-a
K60.51,K60.519,is-a
K60.52,K60.521,is-a
K60.52,K60.522,is-a
K60.52,K60.523,is-a
K60.52,K60.529,is-a
K61,K61.0,is-a
K61,K61.1,is-a
K61,K61.2,is-a
K61,K61.3,is-a
K61,K61.4,is-a
K61,K61.5,is-a
K61.3,K61.31,is-a
K61.3,K61.39,is-a
K62,K62.0,is-a
K62,K62.1,is-a
K62,K62.2,is-a
K62,K62.3,is-a
K62,K62.4,is-a
K62,K62.5,is-a
K62,K62.6,is-a
K62,K62.7,is-a
K62,K62.8,is-a
K62,K62.9,is-a
K62.8,K62.81,is-a
K62.8,K62.82,is-a
K62.8,K62.89,is-a
K63,K63.0,is-a
K63,K63.1,is-a
K63,K63.2,is-a
K63,K63.3,is-a
K63,K63.4,is-a
K63,K63.5,is-a
K63,K63.8,is-a
K63,K63.9,is-a
K63.8,K63.81,is-a
K63.8,K63.82,is-a
K63.8,K63.89,is-a
K63.82,K63.821,is-a
K63.82,K63.822,is-a
K63.82,K63.829,is-a
K63.821,K63.8211,is-a
K63.821,K63.8212,is-a
K63.821,K63.8219,is-a
K64,K64.0,is-a
K64,K64.1,is-a
K64,K64.2,is-a
K64,K64.3,is-a
K64,K64.4,is-a
K64,K64.5,is-a
K64,K64.8,is-a
K64,K64.9,is-a
K65,K65.0,is-a
K65,K65.1,is-a
K65,K65.2,is-a
K65,K65.3,is-a
K65,K65.4,is-a
K65,K65.8,is-a
K65,K65.9,is-a
K66,K66.0,is-a
K66,K66.1,is-a
K66,K66.8,is-a
K66,K66.9,is-a
K68,K68.1,is-a
K68,K68.2,is-a
K68,K68.3,is-a
K68,K68.9,is-a
K68.1,K68.11,is-a
K68.1,K68.12,is-a
K68.1,K68.19,is-a
K70,K70.0,is-a
K70,K70.1,is-a
K70,K70.2,is-a
K70,K70.3,is-a
K70,K70.4,is-a
K70,K70.9,is-a
K70.1,K70.10,is-a
K70.1,K70.11,is-a
K70.3,K70.30,is-a
K70.3,K70.31,is-a
K70.4,K70.40,is-a
K70.4,K70.41,is-a
K71,K71.0,is-a
K71,K71.1,is-a
K71,K71.2,is-a
K71,K71.3,is-a
K71,K71.4,is-a
K71,K71.5,is-a
K71,K71.6,is-a
K71,K71.7,is-a
K71,K71.8,is-a
K71,K71.9,is-a
K71.1,K71.10,is-a
K71.1,K71.11,is-a
K71.5,K71.50,is-a
K71.5,K71.51,is-a
K72,K72.0,is-a
K72,K72.1,is-a
K72,K72.9,is-a
K72.0,K72.00,is-a
K72.0,K72.01,is-a
K72.1,K72.10,is-a
K72.1,K72.11,is-a
K72.9,K72.90,is-a
K72.9,K72.91,is-a
K73,K73.0,is-a
K73,K73.1,is-a
K73,K73.2,is-a
K73,K73.8,is-a
K73,K73.9,is-a
K74,K74.0,is-a
K74,K74.1,is-a
K74,K74.2,is-a
K74,K74.3,is-a
K74,K74.4,is-a
K74,K74.5,is-a
K74,K74.6,is-a
K74.0,K74.00,is-a
K74.0,K74.01,is-a
K74.0,K74.02,is-a
K74.6,K74.60,is-a
K74.6,K74.69,is-a
K75,K75.0,is-a
K75,K75.1,is-a
K75,K75.2,is-a
K75,K75.3,is-a
K75,K75.4,is-a
K75,K75.8,is-a
K75,K75.9,is-a
K75.8,K75.81,is-a
K75.8,K75.89,is-a
K76,K76.0,is-a
K76,K76.1,is-a
K76,K76.2,is-a
K76,K76.3,is-a
K76,K76.4,is-a
K76,K76.5,is-a
K76,K76.6,is-a
K76,K76.7,is-a
K76,K76.8,is-a
K76,K76.9,is-a
K76.8,K76.81,is-a
K76.8,K76.82,is-a
K76.8,K76.89,is-a
K80,K80.0,is-a
K80,K80.1,is-a
K80,K80.2,is-a
K80,K80.3,is-a
K80,K80.4,is-a
K80,K80.5,is-a
K80,K80.6,is-a
K80,K80.7,is-a
K80,K80.8,is-a
K80.0,K80.00,is-a
K80.0,K80.01,is-a
K80.1,K80.10,is-a
K80.1,K80.11,is-a
K80.1,K80.12,is-a
K80.1,K80.13,is-a
K80.1,K80.18,is-a
K80.1,K80.19,is-a
K80.2,K80.20,is-a
K80.2,K80.21,is-a
K80.3,K80.30,is-a
K80.3,K80.31,is-a
K80.3,K80.32,is-a
K80.3,K80.33,is-a
K80.3,K80.34,is-a
K80.3,K80.35,is-a
K80.3,K80.36,is-a
K80.3,K80.37,is-a
K80.4,K80.40,is-a
K80.4,K80.41,is-a
K80.4,K80.42,is-a
K80.4,K80.43,is-a
K80.4,K80.44,is-a
K80.4,K80.45,is-a
K80.4,K80.46,is-a
K80.4,K80.47,is-a
K80.5,K80.50,is-a
K80.5,K80.51,is-a
