parent_code,child_code,relationship
A39.5,A39.53,is-a
A39.8,A39.81,is-a
A39.8,A39.82,is-a
A39.8,A39.83,is-a
A39.8,A39.84,is-a
A39.8,A39.89,is-a
A40,A40.0,is-a
A40,A40.1,is-a
A40,A40.3,is-a
A40,A40.8,is-a
A40,A40.9,is-a
A41,A41.0,is-a
A41,A41.1,is-a
A41,A41.2,is-a
A41,A41.3,is-a
A41,A41.4,is-a
A41,A41.5,is-a
A41,A41.8,is-a
A41,A41.9,is-a
A41.0,A41.01,is-a
A41.0,A41.02,is-a
A41.5,A41.50,is-a
A41.5,A41.51,is-a
A41.5,A41.52,is-a
A41.5,A41.53,is-a
A41.5,A41.54,is-a
A41.5,A41.59,is-a
A41.8,A41.81,is-a
A41.8,A41.89,is-a
A42,A42.0,is-a
A42,A42.1,is-a
A42,A42.2,is-a
A42,A42.7,is-a
A42,A42.8,is-a
A42,A42.9,is-a
A42.8,A42.81,is-a
A42.8,A42.82,is-a
A42.8,A42.89,is-a
A43,A43.0,is-a
A43,A43.1,is-a
A43,A43.8,is-a
A43,A43.9,is-a
A44,A44.0,is-a
A44,A44.1,is-a
A44,A44.8,is-a
A44,A44.9,is-a
A48,A48.0,is-a
A48,A48.1,is-a
A48,A48.2,is-a
A48,A48.3,is-a
A48,A48.4,is-a
A48,A48.5,is-a
A48,A48.8,is-a
A48.5,A48.51,is-a
A48.5,A48.52,is-a
A49,A49.0,is-a
A49,A49.1,is-a
A49,A49.2,is-a
A49,A49.3,is-a
A49,A49.8,is-a
A49,A49.9,is-a
A49.0,A49.01,is-a
A49.0,A49.02,is-a
A50,A50.0,is-a
A50,A50.1,is-a
A50,A50.2,is-a
A50,A50.3,is-a
A50,A50.4,is-a
A50,A50.5,is-a
A50,A50.6,is-a
A50,A50.7,is-a
A50,A50.9,is-a
A50.0,A50.01,is-a
A50.0,A50.02,is-a
A50.0,A50.03,is-a
A50.0,A50.04,is-a
A50.0,A50.05,is-a
A50.0,A50.06,is-a
A50.0,A50.07,is-a
A50.0,A50.08,is-a
A50.0,A50.09,is-a
A50.3,A50.30,is-a
A50.3,A50.31,is-a
A50.3,A50.32,is-a
A50.3,A50.39,is-a
A50.4,A50.40,is-a
A50.4,A50.41,is-a
A50.4,A50.42,is-a
A50.4,A50.43,is-a
A50.4,A50.44,is-a
A50.4,A50.45,is-a
A50.4,A50.49,is-a
A50.5,A50.51,is-a
A50.5,A50.52,is-a
A50.5,A50.53,is-a
A50.5,A50.54,is-a
A50.5,A50.55,is-a
A50.5,A50.56,is-a
A50.5,A50.57,is-a
A50.5,A50.59,is-a
A51,A51.0,is-a
A51,A51.1,is-a
A51,A51.2,is-a
A51,A51.3,is-a
A51,A51.4,is-a
A51,A51.5,is-a
A51,A51.9,is-a
A51.3,A51.31,is-a
A51.3,A51.32,is-a
A51.3,A51.39,is-a
A51.4,A51.41,is-a
A51.4,A51.42,is-a
A51.4,A51.43,is-a
A51.4,A51.44,is-a
A51.4,A51.45,is-a
A51.4,A51.46,is-a
A51.4,A51.49,is-a
A52,A52.0,is-a
A52,A52.1,is-a
A52,A52.2,is-a
A52,A52.3,is-a
A52,A52.7,is-a
A52,A52.8,is-a
A52,A52.9,is-a
A52.0,A52.00,is-a
A52.0,A52.01,is-a
A52.0,A52.02,is-a
A52.0,A52.03,is-a
A52.0,A52.04,is-a
A52.0,A52.05,is-a
A52.0,A52.06,is-a
A52.0,A52.09,is-a
A52.1,A52.10,is-a
A52.1,A52.11,is-a
A52.1,A52.12,is-a
A52.1,A52.13,is-a
A52.1,A52.14,is-a
A52.1,A52.15,is-a
A52.1,A52.16,is-a
A52.1,A52.17,is-a
A52.1,A52.19,is-a
A52.7,A52.71,is-a
A52.7,A52.72,is-a
A52.7,A52.73,is-a
A52.7,A52.74,is-a
A52.7,A52.75,is-a
A52.7,A52.76,is-a
A52.7,A52.77,is-a
A52.7,A52.78,is-a
A52.7,A52.79,is-a
A53,A53.0,is-a
A53,A53.9,is-a
A54,A54.0,is-a
A54,A54.1,is-a
A54,A54.2,is-a
A54,A54.3,is-a
A54,A54.4,is-a
A54,A54.5,is-a
A54,A54.6,is-a
A54,A54.8,is-a
A54,A54.9,is-a
A54.0,A54.00,is-a
A54.0,A54.01,is-a
A54.0,A54.02,is-a
A54.0,A54.03,is-a
A54.0,A54.09,is-a
A54.2,A54.21,is-a
A54.2,A54.22,is-a
A54.2,A54.23,is-a
A54.2,A54.24,is-a
A54.2,A54.29,is-a
A54.3,A54.30,is-a
A54.3,A54.31,is-a
A54.3,A54.32,is-a
A54.3,A54.33,is-a
A54.3,A54.39,is-a
A54.4,A54.40,is-a
A54.4,A54.41,is-a
