code,description_short,description_long,is_billable,status,valid_from
162,"State-mandated Requirement for Property and Casualty, see Claim Payment Remarks Code for specific explanation","State-mandated Requirement for Property and Casualty, see Claim Payment Remarks Code for specific explanation.",,active,2004-02-29T00:00:00Z
163,Attachment/other documentation referenced on the claim was not received,Attachment/other documentation referenced on the claim was not received.,,active,2004-06-30T00:00:00Z
164,Attachment/other documentation referenced on the claim was not received in a timely fashion,Attachment/other documentation referenced on the claim was not received in a timely fashion.,,active,2004-06-30T00:00:00Z
165,Referral absent or exceeded,Referral absent or exceeded.,,deprecated,2004-10-31T00:00:00Z
166,These services were submitted after this payers responsibility for processing claims under this plan ended,These services were submitted after this payers responsibility for processing claims under this plan ended.,,active,2005-02-28T00:00:00Z
167,This (these) diagnosis(es) is (are) not covered,"This (these) diagnosis(es) is (are) not covered. Usage: Refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment Information REF), if present.",,active,2005-06-30T00:00:00Z
168,Service(s) have been considered under the patient's medical plan,Service(s) have been considered under the patient's medical plan. Benefits are not available under this dental plan.,,deprecated,2005-06-30T00:00:00Z
169,Alternate benefit has been provided,Alternate benefit has been provided.,,active,2005-06-30T00:00:00Z
17,Requested information was not provided or was insufficient/incomplete,Requested information was not provided or was insufficient/incomplete. At least one Remark Code must be provided (may be comprised of either the Remittance Advice Remark Code or NCPDP Reject Reason Code.),,deprecated,1995-01-01T00:00:00Z
170,Payment is denied when performed/billed by this type of provider,"Payment is denied when performed/billed by this type of provider. Usage: Refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment Information REF), if present.",,active,2005-06-30T00:00:00Z
171,Payment is denied when performed/billed by this type of provider in this type of facility,"Payment is denied when performed/billed by this type of provider in this type of facility. Usage: Refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment Information REF), if present.",,active,2005-06-30T00:00:00Z
172,Payment is adjusted when performed/billed by a provider of this specialty,"Payment is adjusted when performed/billed by a provider of this specialty. Usage: Refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment Information REF), if present.",,active,2005-06-30T00:00:00Z
173,Service/equipment was not prescribed by a physician,Service/equipment was not prescribed by a physician.,,active,2005-06-30T00:00:00Z
174,Service was not prescribed prior to delivery,Service was not prescribed prior to delivery.,,active,2005-06-30T00:00:00Z
175,Prescription is incomplete,Prescription is incomplete.,,active,2005-06-30T00:00:00Z
176,Prescription is not current,Prescription is not current.,,active,2005-06-30T00:00:00Z
177,Patient has not met the required eligibility requirements,Patient has not met the required eligibility requirements.,,active,2005-06-30T00:00:00Z
178,Patient has not met the required spend down requirements,Patient has not met the required spend down requirements.,,active,2005-06-30T00:00:00Z
179,Patient has not met the required waiting requirements,"Patient has not met the required waiting requirements. Usage: Refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment Information REF), if present.",,active,2005-06-30T00:00:00Z
18,Exact duplicate claim/service (Use only with Group Code OA except where state wo,Exact duplicate claim/service (Use only with Group Code OA except where state workers' compensation regulations requires CO),,active,1995-01-01T00:00:00Z
180,Patient has not met the required residency requirements,Patient has not met the required residency requirements.,,active,2005-06-30T00:00:00Z
181,Procedure code was invalid on the date of service,Procedure code was invalid on the date of service.,,active,2005-06-30T00:00:00Z
182,Procedure modifier was invalid on the date of service,Procedure modifier was invalid on the date of service.,,active,2005-06-30T00:00:00Z
183,The referring provider is not eligible to refer the service billed,"The referring provider is not eligible to refer the service billed. Usage: Refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment Information REF), if present.",,active,2005-06-30T00:00:00Z
184,The prescribing/ordering provider is not eligible to prescribe/order the service billed,"The prescribing/ordering provider is not eligible to prescribe/order the service billed. Usage: Refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment Information REF), if present.",,active,2005-06-30T00:00:00Z
